booking_id,hotel,lead_time,year,Month,Day,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,market_segment,distribution_channel,previous_cancellations,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,average_daily_rate,total_of_special_requests,reservation_status,total_stay,total_guests,booking_type
100056,City Hotel,101,2023,September,1,3.0,4.0,1,0,0,NLD,Groups,Corporate,2.0,0.0,Refundable,121.0,45.0,Contract,251.56,3.0,Check-Out,7.0,1,Early Booking
100057,Resort Hotel,282,2024,February,27,0.0,5.0,4,2,1,SGP,Online TA,Direct,1.0,2.0,Refundable,423.0,37.0,Group,200.9,2.0,Check-Out,5.0,7,Early Booking
100058,City Hotel,0,2023,October,5,2.0,5.0,4,0,0,DEU,Corporate,GDS,5.0,1.0,Refundable,208.0,46.0,Group,97.22,2.0,Canceled,7.0,4,Last Minute
100059,City Hotel,180,2024,October,3,4.0,4.0,1,1,0,AUS,Direct,Direct,4.0,2.0,Refundable,434.0,4.0,Contract,217.79,1.0,Check-Out,8.0,2,Early Booking
100060,Resort Hotel,122,2023,February,19,1.0,2.0,4,1,0,NLD,Direct,Corporate,2.0,3.0,Refundable,24.0,21.0,Group,278.12,0.0,Check-Out,3.0,5,Early Booking
100061,City Hotel,355,2024,January,16,3.0,1.0,1,2,1,IND,Offline TA/TO,Corporate,0.0,3.0,Refundable,5.0,37.0,Group,170.07,2.0,Check-Out,4.0,4,Early Booking
100062,Resort Hotel,350,2024,October,26,2.0,3.0,4,0,0,FRA,Online TA,Corporate,4.0,4.0,No Deposit,44.0,41.0,Transient-Party,318.47,2.0,Check-Out,5.0,4,Early Booking
100063,City Hotel,339,2023,December,10,3.0,2.0,2,1,0,CAN,Online TA,Direct,4.0,3.0,Non Refund,242.0,39.0,Transient,182.09,0.0,Check-Out,5.0,3,Early Booking
100064,Resort Hotel,240,2025,September,3,4.0,6.0,1,2,0,GBR,Offline TA/TO,TA/TO,5.0,1.0,Refundable,198.0,34.0,Transient-Party,241.0,0.0,Check-Out,10.0,3,Early Booking
100065,City Hotel,258,2023,September,21,2.0,7.0,1,2,0,CAN,Groups,Corporate,3.0,3.0,Non Refund,455.0,0.0,Contract,167.32,5.0,Check-Out,9.0,3,Early Booking
100066,City Hotel,143,2023,July,17,3.0,4.0,2,0,0,AUS,Corporate,GDS,0.0,4.0,No Deposit,125.0,37.0,Transient,74.35,0.0,Check-Out,7.0,2,Early Booking
100067,City Hotel,302,2023,July,10,3.0,6.0,4,1,1,SGP,Offline TA/TO,Corporate,1.0,0.0,Non Refund,383.0,38.0,Transient,155.51,1.0,Check-Out,9.0,6,Early Booking
100068,City Hotel,65,2023,October,10,3.0,7.0,1,2,1,NLD,Online TA,Direct,1.0,2.0,No Deposit,161.0,39.0,Transient,279.83,1.0,Check-Out,10.0,4,Last Minute
100069,Resort Hotel,36,2023,June,3,4.0,7.0,3,0,0,CAN,Direct,Corporate,2.0,1.0,Refundable,262.0,34.0,Transient-Party,126.44,0.0,Check-Out,11.0,3,Last Minute
100070,City Hotel,212,2025,November,23,3.0,2.0,1,2,1,FRA,Corporate,Corporate,4.0,0.0,Refundable,452.0,48.0,Transient,100.07,5.0,Canceled,5.0,4,Early Booking
100071,City Hotel,316,2025,June,4,2.0,6.0,4,1,0,SGP,Online TA,Direct,3.0,1.0,Non Refund,227.0,6.0,Contract,336.08,4.0,Check-Out,8.0,5,Early Booking
100072,Resort Hotel,139,2025,February,3,4.0,1.0,3,0,0,DEU,Groups,GDS,5.0,0.0,Non Refund,368.0,21.0,Transient,83.65,5.0,Check-Out,5.0,3,Early Booking
100073,Resort Hotel,347,2023,October,25,2.0,1.0,4,1,0,FRA,Offline TA/TO,TA/TO,4.0,1.0,Non Refund,17.0,5.0,Group,113.9,1.0,Check-Out,3.0,5,Early Booking
100074,Resort Hotel,250,2024,September,28,2.0,6.0,1,2,1,UAE,Corporate,GDS,3.0,4.0,Non Refund,105.0,18.0,Transient,265.65,4.0,Check-Out,8.0,4,Early Booking
100075,Resort Hotel,188,2025,November,2,1.0,7.0,2,1,0,UAE,Groups,Direct,5.0,1.0,Non Refund,235.0,46.0,Contract,305.87,2.0,Check-Out,8.0,3,Early Booking
100076,City Hotel,207,2025,September,12,3.0,1.0,2,0,0,UAE,Corporate,GDS,1.0,1.0,No Deposit,218.0,2.0,Contract,224.24,3.0,Check-Out,4.0,2,Early Booking
100077,City Hotel,11,2023,March,15,2.0,4.0,2,0,0,SGP,Online TA,Direct,1.0,3.0,No Deposit,407.0,10.0,Group,73.21,2.0,Check-Out,6.0,2,Last Minute
100078,City Hotel,212,2023,November,17,1.0,6.0,1,1,1,USA,Offline TA/TO,GDS,5.0,1.0,No Deposit,23.0,2.0,Contract,273.74,4.0,Canceled,7.0,3,Early Booking
100079,City Hotel,236,2025,February,28,0.0,1.0,1,2,0,DEU,Online TA,TA/TO,1.0,2.0,Non Refund,174.0,27.0,Group,202.33,5.0,Check-Out,1.0,3,Early Booking
100080,Resort Hotel,149,2024,May,14,0.0,6.0,1,1,0,UAE,Online TA,GDS,3.0,1.0,Refundable,102.0,40.0,Transient,323.13,0.0,Check-Out,6.0,2,Early Booking
100081,Resort Hotel,11,2024,August,1,0.0,3.0,2,2,0,USA,Groups,TA/TO,1.0,1.0,Refundable,196.0,37.0,Contract,166.82,5.0,Check-Out,3.0,4,Last Minute
100082,City Hotel,203,2023,March,28,1.0,3.0,2,2,0,IND,Groups,Direct,5.0,1.0,No Deposit,494.0,28.0,Contract,319.31,5.0,Check-Out,4.0,4,Early Booking
100083,City Hotel,111,2024,October,26,3.0,4.0,4,1,0,CAN,Online TA,Direct,1.0,4.0,No Deposit,261.0,25.0,Transient-Party,338.61,2.0,Check-Out,7.0,5,Early Booking
100084,City Hotel,305,2023,March,19,4.0,3.0,1,0,1,DEU,Online TA,TA/TO,2.0,0.0,Refundable,188.0,8.0,Group,334.88,2.0,Canceled,7.0,2,Early Booking
100085,City Hotel,150,2023,January,15,2.0,7.0,4,2,0,SGP,Groups,Corporate,0.0,3.0,Non Refund,229.0,27.0,Transient-Party,132.7,2.0,Check-Out,9.0,6,Early Booking
100086,Resort Hotel,251,2023,May,10,0.0,2.0,2,0,0,NLD,Online TA,Corporate,5.0,3.0,No Deposit,412.0,25.0,Contract,298.43,1.0,Canceled,2.0,2,Early Booking
100087,City Hotel,233,2023,June,17,2.0,7.0,1,2,0,FRA,Direct,GDS,2.0,4.0,No Deposit,330.0,1.0,Transient-Party,202.99,3.0,Check-Out,9.0,3,Early Booking
100088,Resort Hotel,136,2023,October,18,3.0,6.0,1,2,0,NLD,Corporate,Corporate,1.0,0.0,Refundable,68.0,41.0,Group,168.37,1.0,No-Show,9.0,3,Early Booking
100089,Resort Hotel,212,2025,October,27,4.0,6.0,1,0,1,FRA,Groups,Direct,2.0,0.0,No Deposit,371.0,0.0,Transient-Party,261.26,3.0,Check-Out,10.0,2,Early Booking
100090,City Hotel,16,2023,September,15,3.0,2.0,4,1,0,IND,Online TA,TA/TO,0.0,0.0,Refundable,469.0,1.0,Transient,131.0,3.0,No-Show,5.0,5,Last Minute
100091,Resort Hotel,1,2024,September,16,1.0,2.0,4,2,1,FRA,Online TA,Corporate,3.0,2.0,Non Refund,302.0,34.0,Transient,96.03,5.0,Canceled,3.0,7,Last Minute
100092,Resort Hotel,292,2024,December,3,2.0,5.0,2,1,1,GBR,Groups,TA/TO,0.0,4.0,Non Refund,354.0,33.0,Transient-Party,291.05,1.0,Canceled,7.0,4,Early Booking
100093,Resort Hotel,188,2025,October,13,3.0,2.0,4,0,0,AUS,Offline TA/TO,GDS,4.0,0.0,Refundable,170.0,6.0,Transient,177.26,1.0,No-Show,5.0,4,Early Booking
100094,City Hotel,330,2025,July,22,4.0,5.0,2,1,0,FRA,Offline TA/TO,Direct,4.0,0.0,Non Refund,51.0,40.0,Group,124.32,4.0,Canceled,9.0,3,Early Booking
100095,Resort Hotel,196,2024,January,12,3.0,6.0,4,1,1,USA,Corporate,TA/TO,1.0,4.0,Non Refund,468.0,34.0,Transient-Party,195.71,1.0,Check-Out,9.0,6,Early Booking
100096,Resort Hotel,161,2023,November,28,4.0,4.0,2,1,1,IND,Direct,TA/TO,2.0,0.0,No Deposit,156.0,1.0,Transient,286.9,1.0,Check-Out,8.0,4,Early Booking
100097,Resort Hotel,241,2023,July,21,1.0,4.0,3,0,0,DEU,Online TA,Corporate,5.0,0.0,Refundable,287.0,28.0,Transient,202.9,5.0,Check-Out,5.0,3,Early Booking
100098,City Hotel,249,2025,October,6,2.0,4.0,1,0,0,NLD,Corporate,GDS,3.0,2.0,No Deposit,234.0,16.0,Group,275.8,0.0,Canceled,6.0,1,Early Booking
100099,City Hotel,95,2023,June,7,3.0,1.0,2,2,1,USA,Corporate,Corporate,2.0,4.0,Non Refund,477.0,33.0,Transient,285.11,5.0,Check-Out,4.0,5,Early Booking
100100,City Hotel,76,2025,February,9,4.0,7.0,1,0,0,IND,Groups,GDS,2.0,1.0,Non Refund,216.0,23.0,Transient,158.2,4.0,Canceled,11.0,1,Last Minute
100101,Resort Hotel,278,2024,September,27,2.0,2.0,4,2,1,USA,Offline TA/TO,Direct,1.0,4.0,No Deposit,190.0,40.0,Transient-Party,162.22,4.0,Check-Out,4.0,7,Early Booking
100102,City Hotel,130,2024,January,4,3.0,6.0,3,1,1,DEU,Online TA,Corporate,3.0,2.0,Refundable,1.0,43.0,Transient,61.86,3.0,Canceled,9.0,5,Early Booking
100103,City Hotel,340,2025,December,27,4.0,2.0,3,0,0,GBR,Offline TA/TO,GDS,1.0,1.0,Refundable,64.0,47.0,Transient,246.44,3.0,Canceled,6.0,3,Early Booking
100104,Resort Hotel,201,2024,February,16,0.0,1.0,1,1,1,AUS,Offline TA/TO,TA/TO,4.0,3.0,Non Refund,486.0,13.0,Transient,50.12,0.0,Check-Out,1.0,3,Early Booking
100105,Resort Hotel,130,2024,August,17,2.0,2.0,1,2,0,AUS,Direct,GDS,0.0,4.0,Non Refund,314.0,31.0,Transient-Party,236.65,1.0,Check-Out,4.0,3,Early Booking
100106,Resort Hotel,78,2023,November,3,2.0,1.0,3,1,1,NLD,Corporate,TA/TO,5.0,4.0,Refundable,238.0,26.0,Group,80.34,5.0,Check-Out,3.0,5,Last Minute
100107,City Hotel,62,2025,July,8,3.0,7.0,3,0,0,GBR,Offline TA/TO,Corporate,1.0,2.0,No Deposit,306.0,10.0,Transient,263.85,5.0,No-Show,10.0,3,Last Minute
100108,Resort Hotel,329,2025,June,13,2.0,1.0,3,2,1,AUS,Groups,Direct,1.0,4.0,Refundable,93.0,4.0,Group,66.94,3.0,Check-Out,3.0,6,Early Booking
100109,Resort Hotel,302,2023,October,24,4.0,5.0,2,0,0,NLD,Corporate,TA/TO,2.0,2.0,Non Refund,328.0,42.0,Transient,128.33,1.0,Check-Out,9.0,2,Early Booking
100110,City Hotel,15,2024,August,5,3.0,2.0,2,0,0,AUS,Online TA,TA/TO,3.0,1.0,Non Refund,177.0,17.0,Group,326.12,4.0,Check-Out,5.0,2,Last Minute
100111,City Hotel,211,2025,October,2,1.0,4.0,3,0,1,AUS,Offline TA/TO,TA/TO,3.0,4.0,Refundable,37.0,39.0,Group,107.34,5.0,Canceled,5.0,4,Early Booking
100112,Resort Hotel,157,2024,March,8,1.0,4.0,1,1,1,GBR,Offline TA/TO,GDS,2.0,0.0,No Deposit,21.0,27.0,Transient-Party,245.88,1.0,Canceled,5.0,3,Early Booking
100113,Resort Hotel,268,2024,October,15,1.0,5.0,1,1,1,IND,Groups,Corporate,1.0,3.0,Non Refund,348.0,16.0,Group,282.89,1.0,Check-Out,6.0,3,Early Booking
100114,City Hotel,195,2025,December,8,0.0,3.0,1,1,1,DEU,Offline TA/TO,TA/TO,1.0,0.0,No Deposit,94.0,19.0,Group,158.86,1.0,Check-Out,3.0,3,Early Booking
100115,Resort Hotel,134,2024,August,4,4.0,5.0,3,2,1,FRA,Groups,TA/TO,2.0,2.0,No Deposit,55.0,28.0,Group,52.43,1.0,No-Show,9.0,6,Early Booking
100116,Resort Hotel,49,2025,March,8,4.0,4.0,4,1,0,SGP,Corporate,GDS,2.0,3.0,No Deposit,349.0,6.0,Contract,135.84,0.0,Check-Out,8.0,5,Last Minute
100117,Resort Hotel,212,2023,February,24,4.0,4.0,3,2,0,USA,Online TA,Corporate,1.0,4.0,No Deposit,141.0,34.0,Transient-Party,118.82,1.0,Check-Out,8.0,5,Early Booking
100118,Resort Hotel,29,2025,January,14,2.0,5.0,3,2,0,USA,Online TA,GDS,5.0,4.0,Non Refund,422.0,35.0,Transient,277.6,3.0,No-Show,7.0,5,Last Minute
100119,Resort Hotel,38,2025,April,26,0.0,1.0,2,2,0,SGP,Direct,Direct,2.0,0.0,Refundable,256.0,42.0,Group,212.29,4.0,Check-Out,1.0,4,Last Minute
100120,Resort Hotel,125,2023,September,16,3.0,6.0,1,0,0,NLD,Direct,Direct,1.0,4.0,Refundable,28.0,24.0,Contract,240.03,2.0,Check-Out,9.0,1,Early Booking
100121,Resort Hotel,318,2024,April,1,4.0,6.0,1,0,1,IND,Offline TA/TO,Direct,0.0,0.0,Refundable,273.0,35.0,Contract,317.27,0.0,Canceled,10.0,2,Early Booking
100122,City Hotel,154,2023,November,12,3.0,1.0,4,0,1,FRA,Online TA,TA/TO,5.0,2.0,Non Refund,309.0,1.0,Contract,82.02,2.0,Check-Out,4.0,5,Early Booking
100123,Resort Hotel,345,2025,November,1,2.0,2.0,3,0,0,UAE,Direct,TA/TO,4.0,3.0,Refundable,2.0,4.0,Group,253.39,4.0,Check-Out,4.0,3,Early Booking
100124,Resort Hotel,338,2023,March,3,0.0,6.0,3,2,0,DEU,Offline TA/TO,GDS,1.0,3.0,No Deposit,211.0,17.0,Contract,221.53,4.0,Check-Out,6.0,5,Early Booking
100125,Resort Hotel,13,2025,November,14,4.0,1.0,3,0,1,GBR,Online TA,TA/TO,3.0,3.0,No Deposit,453.0,3.0,Contract,337.48,4.0,Canceled,5.0,4,Last Minute
100126,Resort Hotel,39,2023,May,3,0.0,1.0,2,2,1,UAE,Offline TA/TO,GDS,4.0,1.0,Non Refund,83.0,32.0,Group,322.94,0.0,Check-Out,1.0,5,Last Minute
100127,City Hotel,313,2025,March,7,0.0,7.0,1,0,1,GBR,Offline TA/TO,Direct,5.0,1.0,No Deposit,168.0,10.0,Transient,107.69,3.0,Check-Out,7.0,2,Early Booking
100128,City Hotel,30,2025,June,23,1.0,4.0,1,0,1,GBR,Offline TA/TO,GDS,3.0,3.0,Non Refund,413.0,7.0,Group,248.9,5.0,Canceled,5.0,2,Last Minute
100129,City Hotel,134,2023,March,19,0.0,4.0,3,2,0,CAN,Online TA,GDS,0.0,3.0,Refundable,278.0,19.0,Transient-Party,195.23,4.0,No-Show,4.0,5,Early Booking
100130,Resort Hotel,254,2024,September,5,1.0,2.0,1,2,1,UAE,Online TA,GDS,2.0,2.0,Non Refund,400.0,7.0,Group,254.45,4.0,Check-Out,3.0,4,Early Booking
100131,Resort Hotel,96,2024,March,9,2.0,2.0,2,0,1,USA,Online TA,TA/TO,1.0,2.0,Refundable,201.0,49.0,Group,204.66,2.0,Check-Out,4.0,3,Early Booking
100132,City Hotel,72,2025,November,17,3.0,5.0,3,1,0,NLD,Groups,TA/TO,5.0,4.0,Non Refund,419.0,27.0,Transient,326.36,1.0,Check-Out,8.0,4,Last Minute
100133,City Hotel,321,2025,April,17,2.0,2.0,1,1,0,NLD,Direct,Direct,3.0,1.0,Refundable,96.0,12.0,Group,198.72,1.0,Check-Out,4.0,2,Early Booking
100134,Resort Hotel,123,2023,January,6,4.0,2.0,1,0,0,NLD,Corporate,Corporate,3.0,1.0,Refundable,184.0,37.0,Contract,89.58,0.0,Check-Out,6.0,1,Early Booking
100135,Resort Hotel,125,2024,June,21,3.0,1.0,3,0,0,CAN,Direct,Direct,5.0,2.0,Refundable,165.0,38.0,Contract,86.91,5.0,Check-Out,4.0,3,Early Booking
100136,City Hotel,68,2025,January,18,1.0,1.0,3,1,0,NLD,Direct,Direct,4.0,0.0,Refundable,18.0,5.0,Group,144.91,1.0,Check-Out,2.0,4,Last Minute
100137,City Hotel,213,2024,September,8,2.0,6.0,3,1,1,USA,Direct,Corporate,1.0,1.0,No Deposit,209.0,27.0,Group,78.7,1.0,Canceled,8.0,5,Early Booking
100138,City Hotel,353,2025,February,14,0.0,3.0,1,2,1,GBR,Groups,TA/TO,5.0,1.0,Refundable,209.0,1.0,Transient,244.43,2.0,Canceled,3.0,4,Early Booking
100139,Resort Hotel,207,2025,September,2,3.0,3.0,2,1,1,CAN,Corporate,Direct,2.0,1.0,Refundable,183.0,27.0,Group,119.49,0.0,Check-Out,6.0,4,Early Booking
