booking_id,hotel,lead_time,year,Month,Day,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,market_segment,distribution_channel,previous_cancellations,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,average_daily_rate,total_of_special_requests,reservation_status
100034,Resort Hotel,23,2023,October,4,2,2,4,2,0,GBR,Offline TA/TO,TA/TO,2,3,No Deposit,429,2,Transient,288.22,2,Canceled
100035,City Hotel,241,2023,September,1,0,5,3,2,0,GBR,Corporate,TA/TO,2,1,Non Refund,162,2,Transient,340.33,4,Canceled
100036,City Hotel,279,2025,April,20,4,6,1,1,0,GBR,Direct,Direct,2,0,,248,19,Transient,204.8,3,Check-Out
100037,Resort Hotel,275,2024,February,10,3,6,4,2,0,CAN,Groups,GDS,0,0,Non Refund,393,48,Group,51.84,2,Canceled
100038,City Hotel,140,2023,January,1,4,5,3,1,1,AUS,Corporate,TA/TO,1,4,No Deposit,25,34,Transient,246.57,1,Check-Out
100039,City Hotel,117,2025,October,26,0,3,1,2,1,DEU,Direct,Corporate,5,2,Refundable,250,29,Contract,240.47,4,Canceled
100040,Resort Hotel,353,2025,January,11,3,5,3,1,1,CAN,Corporate,GDS,5,4,Refundable,48,32,Transient,344.28,4,Check-Out
100041,City Hotel,327,2024,April,12,3,1,1,1,1,UAE,Offline TA/TO,Corporate,2,4,Non Refund,427,33,Transient-Party,89.14,3,Check-Out
100042,Resort Hotel,185,2025,October,22,2,3,3,2,1,NLD,Online TA,Direct,4,4,Refundable,201,3,Group,63.82,2,Check-Out
100043,City Hotel,161,2024,November,15,0,3,3,1,0,USA,Direct,Corporate,5,0,Refundable,479,25,Transient-Party,224.45,2,Canceled
100044,Resort Hotel,302,2025,May,14,4,4,4,2,0,SGP,Online TA,Direct,2,4,No Deposit,359,9,Contract,130.06,0,Canceled
100045,Resort Hotel,4,2023,December,14,0,7,2,1,1,USA,Corporate,TA/TO,0,1,Refundable,291,30,Transient,256.79,3,Canceled
100046,Resort Hotel,154,2025,July,26,4,1,3,1,0,DEU,Online TA,GDS,1,3,Non Refund,407,10,Group,94.88,2,Check-Out
100047,City Hotel,105,2025,March,2,3,5,3,1,1,FRA,Online TA,Corporate,1,2,Refundable,35,48,Contract,341.23,3,Check-Out
100048,City Hotel,158,2023,January,10,0,2,3,0,1,DEU,Online TA,Corporate,2,0,Refundable,123,17,Transient-Party,213.34,5,Canceled
100049,City Hotel,141,2025,September,8,3,7,1,2,1,DEU,Groups,TA/TO,2,0,No Deposit,214,7,Contract,253.05,3,Check-Out
100050,City Hotel,94,2023,May,15,1,4,1,1,0,UAE,Offline TA/TO,GDS,1,2,Refundable,216,33,Transient,270.64,5,Check-Out
100051,Resort Hotel,118,2024,January,24,0,3,1,1,0,SGP,Offline TA/TO,Corporate,4,0,No Deposit,143,42,Transient,148.58,2,Canceled
100052,Resort Hotel,215,2025,February,13,2,5,2,0,0,CAN,Direct,GDS,2,3,Non Refund,8,1,Group,133.01,0,Canceled
100053,City Hotel,354,2023,July,19,1,1,4,1,1,USA,Corporate,Corporate,2,3,Refundable,460,20,Transient,57.48,5,Check-Out
100054,City Hotel,251,2023,October,11,4,4,1,0,0,CAN,Corporate,TA/TO,2,1,No Deposit,475,24,Group,307.8,4,Canceled
100055,Resort Hotel,19,2023,March,21,1,1,4,1,0,USA,Direct,Direct,1,1,Refundable,333,2,Contract,148.61,3,Check-Out
100056,City Hotel,101,2023,September,1,3,4,1,0,0,NLD,Groups,Corporate,2,0,Refundable,121,45,Contract,251.56,3,Check-Out
100057,Resort Hotel,282,2024,February,27,0,5,4,2,1,SGP,Online TA,Direct,1,2,Refundable,423,37,Group,200.9,2,Check-Out
100058,City Hotel,0,2023,October,5,2,5,4,0,0,DEU,Corporate,GDS,5,1,Refundable,208,46,Group,97.22,2,Canceled
100059,City Hotel,,2024,October,3,4,4,1,1,0,AUS,Direct,Direct,4,,Refundable,434,4,Contract,217.79,1,Check-Out
100060,Resort Hotel,122,2023,February,19,1,2,4,1,0,NLD,Direct,Corporate,2,3,Refundable,24,21,Group,278.12,0,
100061,City Hotel,355,2024,January,16,3,1,1,2,1,IND,Offline TA/TO,Corporate,0,3,Refundable,5,37,Group,170.07,2,Check-Out
100062,Resort Hotel,350,2024,October,26,2,3,4,0,0,FRA,Online TA,Corporate,4,4,No Deposit,44,41,Transient-Party,318.47,2,Check-Out
100063,City Hotel,339,2023,December,10,3,2,2,1,0,CAN,Online TA,Direct,4,3,Non Refund,242,39,Transient,182.09,0,Check-Out
100064,Resort Hotel,240,2025,September,3,4,6,1,2,0,GBR,Offline TA/TO,TA/TO,5,1,Refundable,198,34,Transient-Party,241,0,Check-Out
100065,City Hotel,258,2023,September,21,2,7,1,2,0,CAN,Groups,Corporate,3,3,Non Refund,455,0,Contract,167.32,5,Check-Out
100066,City Hotel,143,2023,July,17,3,4,2,0,0,AUS,Corporate,GDS,0,4,No Deposit,125,37,Transient,74.35,0,Check-Out
100067,City Hotel,302,2023,July,10,3,6,4,1,1,SGP,Offline TA/TO,Corporate,1,0,Non Refund,383,38,Transient,155.51,1,Check-Out
100068,City Hotel,65,2023,October,10,3,7,1,2,1,NLD,Online TA,Direct,1,2,No Deposit,161,39,Transient,279.83,1,Check-Out
100069,Resort Hotel,36,2023,June,3,4,7,3,0,0,CAN,Direct,Corporate,2,1,Refundable,262,34,Transient-Party,126.44,0,Check-Out
100070,City Hotel,212,2025,November,23,3,2,1,2,1,FRA,Corporate,Corporate,4,0,Refundable,452,48,Transient,100.07,5,Canceled
100071,City Hotel,316,2025,June,4,2,6,4,1,0,SGP,Online TA,Direct,3,1,Non Refund,227,6,Contract,336.08,4,Check-Out
100072,Resort Hotel,139,2025,February,3,4,1,3,0,0,DEU,Groups,GDS,5,0,Non Refund,368,21,Transient,83.65,5,Check-Out
100073,,347,2023,October,25,2,1,4,1,0,FRA,Offline TA/TO,TA/TO,4,1,Non Refund,17,5,Group,113.9,1,Check-Out
100074,Resort Hotel,250,2024,September,28,2,6,1,2,1,UAE,Corporate,GDS,3,4,Non Refund,105,18,Transient,265.65,4,Check-Out
100075,Resort Hotel,188,2025,November,2,1,7,2,1,0,UAE,Groups,Direct,5,1,Non Refund,235,46,Contract,305.87,2,Check-Out
100076,City Hotel,207,2025,September,12,3,1,2,0,0,UAE,Corporate,GDS,1,1,No Deposit,218,2,Contract,224.24,3,Check-Out
100077,City Hotel,11,2023,March,15,2,4,2,0,0,SGP,Online TA,Direct,1,3,No Deposit,407,10,Group,73.21,2,Check-Out
100078,City Hotel,212,2023,November,17,1,6,1,1,1,USA,Offline TA/TO,GDS,5,1,No Deposit,23,2,Contract,273.74,4,Canceled
100079,City Hotel,236,2025,February,28,0,1,1,2,0,DEU,Online TA,TA/TO,1,2,Non Refund,174,27,Group,202.33,5,Check-Out
100080,Resort Hotel,149,2024,May,,0,6,1,1,0,UAE,Online TA,GDS,3,1,Refundable,102,40,Transient,323.13,0,Check-Out
100081,Resort Hotel,11,2024,August,1,0,3,2,2,0,USA,Groups,TA/TO,1,1,Refundable,196,37,Contract,166.82,5,Check-Out
100082,City Hotel,203,2023,March,28,1,3,2,2,0,IND,Groups,Direct,5,1,No Deposit,494,28,Contract,319.31,5,Check-Out
100083,City Hotel,111,2024,October,26,3,4,4,1,0,CAN,Online TA,Direct,1,4,No Deposit,261,25,Transient-Party,338.61,2,Check-Out
100084,City Hotel,305,2023,March,19,4,3,1,0,1,DEU,Online TA,TA/TO,2,0,Refundable,188,8,Group,334.88,2,Canceled
100085,City Hotel,150,2023,January,15,2,7,4,2,0,SGP,Groups,Corporate,0,3,Non Refund,229,27,Transient-Party,132.7,2,Check-Out
100086,Resort Hotel,251,2023,May,10,0,2,2,0,0,NLD,Online TA,Corporate,5,3,No Deposit,412,25,,298.43,1,Canceled
100087,City Hotel,233,2023,June,17,2,7,1,2,0,FRA,Direct,GDS,2,4,No Deposit,330,1,Transient-Party,202.99,3,Check-Out
100088,Resort Hotel,136,2023,October,18,3,6,1,2,0,NLD,Corporate,Corporate,1,0,Refundable,68,41,Group,168.37,1,No-Show
100089,Resort Hotel,212,2025,October,27,4,6,1,0,1,FRA,Groups,Direct,2,0,No Deposit,371,0,Transient-Party,261.26,3,Check-Out
100090,City Hotel,16,2023,September,15,3,2,4,1,0,IND,Online TA,TA/TO,0,0,Refundable,469,1,Transient,131,3,No-Show
100091,Resort Hotel,1,2024,September,16,1,2,4,2,1,FRA,Online TA,Corporate,3,,Non Refund,302,34,Transient,96.03,5,Canceled
100092,Resort Hotel,292,2024,December,3,2,5,2,1,1,GBR,Groups,TA/TO,0,4,Non Refund,354,33,Transient-Party,291.05,1,Canceled
100093,Resort Hotel,188,2025,October,13,3,2,4,0,0,AUS,Offline TA/TO,GDS,4,0,Refundable,170,6,Transient,177.26,1,No-Show
100094,City Hotel,330,2025,July,22,4,5,2,1,0,FRA,Offline TA/TO,Direct,4,0,Non Refund,51,40,Group,124.32,4,Canceled
100095,Resort Hotel,196,2024,January,12,3,6,4,1,1,USA,Corporate,TA/TO,1,4,Non Refund,468,34,Transient-Party,195.71,1,Check-Out
100096,Resort Hotel,161,2023,November,28,4,4,2,1,1,IND,Direct,TA/TO,2,0,No Deposit,156,1,Transient,286.9,1,Check-Out
100097,Resort Hotel,241,2023,July,21,1,4,3,0,0,DEU,Online TA,Corporate,5,0,Refundable,287,28,Transient,202.9,5,Check-Out
100098,City Hotel,249,2025,October,6,2,4,1,0,0,NLD,,GDS,3,2,No Deposit,234,16,Group,275.8,0,Canceled
100099,City Hotel,95,2023,June,7,3,1,2,2,1,USA,Corporate,Corporate,2,4,Non Refund,477,33,Transient,285.11,5,Check-Out
100100,City Hotel,76,2025,February,9,4,7,1,0,,IND,Groups,GDS,2,1,Non Refund,216,23,Transient,158.2,4,Canceled
100101,Resort Hotel,278,2024,September,27,2,2,4,2,1,USA,Offline TA/TO,Direct,1,4,No Deposit,190,40,Transient-Party,162.22,4,Check-Out
100102,City Hotel,130,2024,January,4,3,6,3,1,1,DEU,Online TA,Corporate,3,2,Refundable,1,43,Transient,61.86,3,Canceled
100103,City Hotel,340,2025,December,27,4,2,3,0,0,GBR,Offline TA/TO,GDS,1,1,Refundable,64,47,Transient,246.44,3,Canceled
100104,Resort Hotel,201,2024,February,16,0,1,1,1,1,AUS,Offline TA/TO,TA/TO,4,3,Non Refund,486,13,Transient,50.12,0,Check-Out
100105,Resort Hotel,130,2024,August,17,2,2,1,2,0,AUS,Direct,GDS,0,4,Non Refund,314,31,Transient-Party,236.65,1,Check-Out
100106,Resort Hotel,78,2023,November,3,2,1,3,1,1,NLD,Corporate,TA/TO,5,4,Refundable,238,26,Group,80.34,5,Check-Out
100107,City Hotel,62,2025,July,8,3,7,3,0,0,GBR,Offline TA/TO,Corporate,1,2,No Deposit,306,10,Transient,263.85,5,No-Show
100108,Resort Hotel,329,2025,June,13,2,1,3,2,1,AUS,Groups,Direct,1,4,Refundable,93,4,Group,66.94,3,Check-Out
100109,Resort Hotel,302,2023,October,24,4,5,2,0,0,NLD,Corporate,TA/TO,2,2,Non Refund,328,42,Transient,128.33,1,Check-Out
100110,City Hotel,15,2024,August,5,3,2,2,0,0,AUS,Online TA,TA/TO,3,1,Non Refund,177,17,Group,326.12,4,Check-Out
100111,City Hotel,211,2025,October,2,1,4,3,0,1,AUS,Offline TA/TO,TA/TO,3,4,Refundable,37,39,Group,107.34,5,Canceled
100112,Resort Hotel,157,2024,March,8,1,4,1,1,1,GBR,Offline TA/TO,GDS,2,0,No Deposit,21,27,Transient-Party,245.88,1,Canceled
100113,Resort Hotel,268,2024,October,15,1,5,1,1,1,IND,Groups,Corporate,1,3,Non Refund,348,16,Group,282.89,1,Check-Out
100114,City Hotel,195,2025,December,8,0,3,1,1,1,DEU,Offline TA/TO,TA/TO,1,0,No Deposit,94,19,Group,158.86,1,Check-Out
100115,Resort Hotel,134,2024,August,4,4,5,3,2,1,FRA,Groups,TA/TO,2,2,No Deposit,55,28,Group,52.43,1,No-Show
100116,Resort Hotel,49,2025,March,8,4,4,4,1,0,SGP,Corporate,GDS,2,3,No Deposit,349,6,Contract,135.84,0,Check-Out
100117,Resort Hotel,212,2023,February,24,4,4,3,2,0,USA,Online TA,Corporate,1,4,No Deposit,141,34,Transient-Party,118.82,1,Check-Out
100118,Resort Hotel,29,2025,January,14,2,5,3,2,0,USA,Online TA,GDS,5,4,Non Refund,422,35,Transient,277.6,3,No-Show
100119,Resort Hotel,38,2025,April,26,0,1,2,2,0,SGP,Direct,Direct,2,0,Refundable,256,42,Group,212.29,4,Check-Out
100120,Resort Hotel,125,2023,September,16,3,6,1,0,0,NLD,Direct,Direct,1,4,Refundable,28,24,Contract,240.03,2,Check-Out
100121,Resort Hotel,318,2024,April,1,4,6,1,0,1,IND,Offline TA/TO,Direct,0,0,Refundable,273,35,Contract,317.27,0,Canceled
100122,City Hotel,154,2023,November,12,3,1,4,0,1,FRA,Online TA,TA/TO,5,2,Non Refund,309,1,Contract,82.02,2,Check-Out
100123,Resort Hotel,345,2025,November,1,2,2,3,0,0,UAE,Direct,TA/TO,4,3,Refundable,2,4,Group,253.39,4,Check-Out
100124,Resort Hotel,338,2023,March,3,0,6,3,2,0,DEU,Offline TA/TO,GDS,1,3,No Deposit,211,17,Contract,221.53,4,Check-Out
100125,Resort Hotel,13,2025,November,14,4,1,3,0,1,GBR,Online TA,TA/TO,3,3,No Deposit,453,3,Contract,337.48,4,Canceled
100126,Resort Hotel,39,2023,May,3,0,1,2,2,1,UAE,Offline TA/TO,GDS,4,1,Non Refund,83,32,Group,322.94,0,Check-Out
100127,City Hotel,313,2025,March,7,0,7,1,0,1,GBR,Offline TA/TO,Direct,5,1,No Deposit,168,10,Transient,107.69,3,Check-Out
100128,City Hotel,30,2025,June,23,1,4,1,0,1,GBR,Offline TA/TO,GDS,3,3,Non Refund,413,7,Group,248.9,5,Canceled
100129,City Hotel,134,2023,March,19,0,4,3,2,0,CAN,Online TA,GDS,0,3,Refundable,278,19,Transient-Party,195.23,4,No-Show
100130,Resort Hotel,254,2024,September,5,,2,1,2,1,UAE,Online TA,GDS,2,2,Non Refund,400,7,Group,254.45,4,Check-Out
100131,Resort Hotel,96,2024,March,9,2,2,2,0,1,USA,Online TA,TA/TO,1,2,Refundable,201,49,Group,204.66,2,Check-Out
100132,City Hotel,72,2025,November,17,3,5,3,1,0,NLD,Groups,TA/TO,5,4,Non Refund,419,27,Transient,326.36,1,Check-Out
100133,City Hotel,321,2025,April,17,2,2,1,1,0,NLD,Direct,Direct,,1,Refundable,96,12,Group,198.72,1,Check-Out
100134,Resort Hotel,123,2023,January,6,4,2,1,0,0,NLD,Corporate,Corporate,3,1,Refundable,184,37,Contract,89.58,0,Check-Out
100135,Resort Hotel,125,2024,June,21,3,1,3,0,0,CAN,,Direct,5,2,Refundable,165,38,Contract,86.91,5,Check-Out
100136,City Hotel,68,2025,January,18,1,1,3,1,0,NLD,Direct,Direct,4,0,Refundable,18,5,Group,144.91,1,Check-Out
100137,City Hotel,213,2024,September,8,2,6,3,1,1,USA,Direct,Corporate,1,1,No Deposit,209,27,Group,78.7,1,Canceled
100138,City Hotel,353,2025,February,14,0,3,1,2,1,,Groups,TA/TO,5,1,Refundable,209,1,Transient,244.43,2,Canceled
100139,Resort Hotel,207,2025,September,2,3,3,2,1,1,CAN,Corporate,Direct,2,1,Refundable,183,27,Group,119.49,0,Check-Out
100140,City Hotel,205,2024,April,24,4,4,2,0,0,UAE,Corporate,Direct,5,3,,490,42,Contract,191.19,4,Canceled
100141,Resort Hotel,5,2023,December,1,2,5,4,0,0,NLD,Offline TA/TO,Direct,0,4,Refundable,228,19,Transient,275.06,1,Check-Out
100142,Resort Hotel,242,2025,June,20,1,5,1,1,0,UAE,Direct,TA/TO,1,1,Non Refund,343,30,Contract,304.11,1,Check-Out
100143,City Hotel,100,2023,March,21,1,1,2,2,1,DEU,Direct,Direct,1,0,No Deposit,107,20,Contract,125.25,1,Canceled
100144,City Hotel,296,2025,September,18,4,4,2,1,0,DEU,Groups,Direct,4,2,No Deposit,213,46,Group,55.68,4,Canceled
100145,Resort Hotel,190,2025,September,17,1,7,1,1,1,USA,Online TA,GDS,5,0,Refundable,278,1,Contract,103.89,3,Check-Out
100146,City Hotel,257,2025,June,25,3,5,4,2,1,AUS,Groups,TA/TO,1,2,Refundable,154,38,Contract,202.52,2,Check-Out
100147,Resort Hotel,58,2023,October,25,4,5,4,0,1,AUS,Offline TA/TO,Corporate,5,0,Non Refund,32,35,Group,291.56,3,No-Show
100148,Resort Hotel,36,2024,June,26,3,5,3,1,1,CAN,Groups,GDS,3,1,No Deposit,299,43,Transient-Party,106.83,1,Check-Out
100149,Resort Hotel,299,2023,January,6,4,5,1,2,1,CAN,Corporate,TA/TO,5,4,Refundable,96,27,Transient-Party,79.9,0,Canceled
100150,Resort Hotel,297,2025,April,1,0,1,1,0,1,IND,Corporate,TA/TO,1,3,Refundable,8,1,Contract,233.13,3,Check-Out
100151,City Hotel,252,2025,March,3,3,1,4,1,0,NLD,Groups,GDS,3,3,Refundable,228,42,Group,61.97,4,Check-Out
100152,Resort Hotel,210,2024,April,15,1,5,3,0,0,USA,Offline TA/TO,Corporate,0,0,Non Refund,334,48,Transient,312.53,5,Check-Out
100153,City Hotel,106,2025,December,17,1,4,1,2,,FRA,Groups,Corporate,2,2,Refundable,182,12,Contract,288.75,5,Check-Out
100154,Resort Hotel,171,2025,February,24,0,2,4,1,1,USA,Corporate,Direct,1,3,No Deposit,399,49,Transient-Party,173.74,5,Check-Out
100155,City Hotel,208,2024,October,25,3,6,4,2,1,GBR,Online TA,Direct,4,3,Refundable,457,23,Contract,272.86,5,Canceled
100156,City Hotel,320,2024,April,26,3,2,3,1,1,DEU,Corporate,GDS,2,0,Non Refund,211,30,Transient-Party,148.61,0,Check-Out
100157,Resort Hotel,319,2023,February,20,3,3,4,0,0,DEU,Offline TA/TO,Direct,1,4,Non Refund,349,9,Transient,240.16,4,Check-Out
100158,Resort Hotel,3,2025,November,17,2,4,3,2,1,AUS,Online TA,GDS,4,4,Refundable,190,21,Contract,274.96,0,Check-Out
100159,,250,2024,November,6,2,7,4,0,0,UAE,Online TA,GDS,1,4,No Deposit,126,47,Transient-Party,272,5,Canceled
100160,Resort Hotel,164,2023,May,5,3,2,1,2,0,CAN,Groups,Direct,2,3,No Deposit,151,39,Transient-Party,107,4,Check-Out
100161,Resort Hotel,285,2024,August,1,2,6,4,0,0,DEU,Online TA,Corporate,4,2,Non Refund,69,15,Transient,288.02,1,No-Show
100162,Resort Hotel,173,2024,April,6,2,1,2,0,1,FRA,Groups,Corporate,2,0,Non Refund,280,3,Transient,289.58,1,Canceled
100163,City Hotel,157,2025,February,19,4,7,2,1,1,UAE,Direct,TA/TO,1,0,No Deposit,80,40,Group,264.5,1,Check-Out
100164,Resort Hotel,185,2025,May,10,2,1,2,0,0,UAE,Online TA,Direct,2,4,No Deposit,42,43,Transient,166.32,5,Check-Out
100165,Resort Hotel,156,2023,March,24,1,6,2,0,0,UAE,Corporate,TA/TO,4,3,Non Refund,381,39,Transient-Party,274.93,4,Check-Out
100166,Resort Hotel,365,2025,July,8,3,2,1,0,0,USA,Online TA,TA/TO,5,0,Non Refund,229,39,Contract,119.69,4,Check-Out
100167,Resort Hotel,322,2025,October,11,4,2,4,0,0,CAN,Groups,TA/TO,2,2,No Deposit,129,30,Transient-Party,231.54,3,Canceled
100168,City Hotel,305,2024,February,23,4,1,4,2,0,NLD,Corporate,GDS,5,0,Non Refund,44,3,Group,204.16,4,Canceled
100169,City Hotel,330,2023,June,20,3,5,4,2,1,DEU,Offline TA/TO,Direct,0,3,Non Refund,384,22,Transient-Party,139.21,4,
100170,Resort Hotel,358,2024,November,28,4,4,1,2,0,GBR,Corporate,Direct,2,3,Refundable,472,27,Group,316.76,4,Check-Out
100171,Resort Hotel,365,2025,June,22,0,7,1,0,0,GBR,Offline TA/TO,Direct,2,1,No Deposit,459,35,Transient-Party,302.87,4,Canceled
100172,City Hotel,249,2024,August,24,0,7,2,0,0,FRA,Groups,Direct,0,0,Refundable,443,3,Group,187.45,5,Check-Out
100173,City Hotel,364,2024,September,27,4,6,2,2,1,FRA,Direct,Corporate,1,4,No Deposit,381,14,Group,297.11,5,Canceled
100174,Resort Hotel,77,2023,May,28,0,5,4,0,0,UAE,Direct,Direct,0,2,Refundable,134,24,Transient,120.87,4,Check-Out
100175,City Hotel,361,2023,November,1,4,5,4,1,1,IND,Corporate,GDS,4,4,Refundable,420,22,Contract,335.75,5,Check-Out
100176,City Hotel,154,2025,November,9,2,1,2,2,0,CAN,Online TA,TA/TO,5,0,No Deposit,265,13,Contract,63.21,4,Canceled
100177,City Hotel,343,2024,November,5,1,7,3,1,1,GBR,Groups,GDS,1,2,Refundable,354,13,Transient-Party,50.25,5,Check-Out
100178,Resort Hotel,186,2023,August,20,0,1,2,2,0,UAE,Offline TA/TO,TA/TO,3,4,Refundable,377,30,Contract,59.13,3,Check-Out
100179,City Hotel,18,2025,June,16,3,5,1,0,0,GBR,Online TA,Direct,5,4,No Deposit,342,13,Contract,212.81,2,Check-Out
100180,Resort Hotel,225,2023,May,16,2,6,4,0,1,CAN,Direct,Corporate,4,3,Non Refund,486,17,Contract,326.11,3,Check-Out
100181,Resort Hotel,17,2023,March,18,0,3,1,2,0,IND,Groups,Corporate,3,1,Refundable,357,27,Transient,135.58,5,Check-Out
100182,City Hotel,350,2023,April,16,1,1,4,2,0,CAN,Groups,Direct,3,2,Non Refund,113,21,Group,232.78,0,Check-Out
100183,City Hotel,270,2025,February,24,1,1,1,0,0,GBR,Offline TA/TO,Direct,5,3,Refundable,119,31,Contract,315.61,1,Check-Out
100184,City Hotel,302,2023,October,26,3,3,2,1,0,DEU,Direct,Direct,4,0,Refundable,38,,Contract,102.85,3,Check-Out
100185,Resort Hotel,153,2023,February,13,3,2,1,2,1,USA,Groups,TA/TO,3,2,Non Refund,425,25,Transient,327.52,2,Check-Out
100186,City Hotel,296,2023,August,11,0,1,2,0,1,FRA,Corporate,Direct,5,4,Refundable,391,11,Transient-Party,349.29,3,Canceled
100187,City Hotel,364,2024,December,25,4,3,3,2,0,GBR,Offline TA/TO,GDS,3,1,Refundable,288,12,Transient,196.19,4,Canceled
100188,Resort Hotel,121,2023,October,3,2,2,4,1,0,IND,Online TA,Direct,2,2,Non Refund,450,21,Group,278.64,4,Check-Out
100189,City Hotel,80,2024,May,11,4,2,1,1,0,NLD,Groups,GDS,3,4,Non Refund,31,7,Group,282.9,2,Check-Out
100190,City Hotel,140,2024,July,1,0,3,2,1,1,USA,Offline TA/TO,Corporate,5,4,Refundable,15,5,Transient-Party,149.42,1,No-Show
